Course Title,Course Author,Course Link
Intermediate Network Analysis in Python, Eric Ma, /courses/intermediate-network-analysis-in-python
Multiple and Logistic Regression in R, Ben Baumer, /courses/multiple-and-logistic-regression-in-r
Inference for Linear Regression in R, Jo Hardin, /courses/inference-for-linear-regression-in-r
Introduction to Natural Language Processing in Python, Katharine Jarmul, /courses/introduction-to-natural-language-processing-in-python
Building Chatbots in Python, Alan Nichol, /courses/building-chatbots-in-python
Extreme Gradient Boosting with XGBoost, Sergey Fogelson, /courses/extreme-gradient-boosting-with-xgboost
Equity Valuation in R, Clifford Ang, /courses/equity-valuation-in-r
Case Studies: Building Web Applications with Shiny in R, Dean Attali, /courses/case-studies-building-web-applications-with-shiny-in-r
Supervised Learning in R: Regression, John Mount, /courses/supervised-learning-in-r-regression
Importing and Managing Financial Data in Python, Stefan Jansen, /courses/importing-and-managing-financial-data-in-python
Optimizing R Code with Rcpp, Team ThinkR, /courses/optimizing-r-code-with-rcpp
Manipulating Time Series Data in Python, Stefan Jansen, /courses/manipulating-time-series-data-in-python
Time Series Analysis in Python, Rob Reider, /courses/time-series-analysis-in-python
Parallel Programming with Dask in Python, Team Anaconda, /courses/parallel-programming-with-dask-in-python
Spatial Analysis with sf and raster in R, Zev Ross, /courses/spatial-analysis-with-sf-and-raster-in-r
Introduction to PySpark, Nick Solomon, /courses/introduction-to-pyspark
Network Analysis in R, JAMES CURLEY, /courses/network-analysis-in-r
Case Studies in Statistical Thinking, Justin Bois, /courses/case-studies-in-statistical-thinking
Joining Data in SQL, Chester Ismay, /courses/joining-data-in-postgresql
Introduction to the Tidyverse, David Robinson, /courses/introduction-to-the-tidyverse
Introduction to Shell, Greg Wilson, /courses/introduction-to-shell
Developing R Packages, Aimee Gott, /courses/developing-r-packages
Inference for Numerical Data in R, Mine Cetinkaya-Rundel, /courses/inference-for-numerical-data-in-r
Visualizing Time Series Data in Python, Thomas Vincent, /courses/visualizing-time-series-data-in-python
Data Manipulation with data.table in R, Matt Dowle, /courses/data-manipulation-with-datatable-in-r
Fundamentals of Bayesian Data Analysis in R, Rasmus Bååth, /courses/fundamentals-of-bayesian-data-analysis-in-r
Working with Dates and Times in R, Charlotte Wickham, /courses/working-with-dates-and-times-in-r
Introduction to Git, Greg Wilson, /courses/introduction-to-git
Python for R Users, Daniel Chen, /courses/python-for-r-users
Cluster Analysis in R, Dmitriy Gorenshteyn, /courses/cluster-analysis-in-r
Introduction to Financial Concepts in Python, Dakota Wixom, /courses/introduction-to-financial-concepts-in-python
Introduction to Portfolio Risk Management in Python, Dakota Wixom, /courses/introduction-to-portfolio-risk-management-in-python
Inference for Categorical Data in R, Andrew Bray, /courses/inference-for-categorical-data-in-r
Conda Essentials, Team Anaconda, /courses/conda-essentials
Interactive Data Visualization with plotly in R, Adam Loy, /courses/interactive-data-visualization-with-plotly-in-r
Visualizing Big Data with Trelliscope in R, Ryan Hafen, /courses/visualizing-big-data-with-trelliscope-in-r
Building Dashboards with flexdashboard, Elaine McVey, /courses/building-dashboards-with-flexdashboard
Communicating with Data in the Tidyverse, Timo Grossenbacher, /courses/communicating-with-data-in-the-tidyverse
Introduction to Linear Modeling in Python, Jason Vestuto, /courses/introduction-to-linear-modeling-in-python
Introduction to MongoDB in Python, Donny Winston, /courses/introduction-to-using-mongodb-for-data-science-with-python
ChIP-seq with Bioconductor in R, Peter Humburg, /courses/chip-seq-with-bioconductor-in-r
Joining Data with data.table in R, Scott Ritchie, /courses/joining-data-with-datatable-in-r
Foundations of Functional Programming with purrr, DataCamp Content Creator, /courses/foundations-of-functional-programming-with-purrr
Visualization Best Practices in R, Nicholas Strayer, /courses/visualization-best-practices-in-r
Building Dashboards with shinydashboard, Lucy D’Agostino McGowan, /courses/building-dashboards-with-shinydashboard
Modeling with Data in the Tidyverse, Albert Y. Kim, /courses/modeling-with-data-in-the-tidyverse
Human Resources Analytics: Exploring Employee Data in R, Ben Teusch, /courses/human-resources-analytics-exploring-employee-data-in-r
Business Process Analytics in R, Gert  Janssenswillen, /courses/business-process-analytics-in-r
Working with Data in the Tidyverse, Alison Hill, /courses/working-with-data-in-the-tidyverse
Supervised Learning in R: Case Studies, DataCamp Content Creator, /courses/supervised-learning-in-r-case-studies
Forecasting Product Demand in R, Aric LaBarr, /courses/forecasting-product-demand-in-r
Machine Learning for Marketing Analytics in R, Verena Pflieger, /courses/machine-learning-for-marketing-analytics-in-r
Case Studies: Network Analysis in R, Ted Hart, /courses/case-studies-network-analysis-in-r
Hierarchical and Mixed Effects Models in R, Richard Erickson, /courses/hierarchical-and-mixed-effects-models-in-r
Machine Learning for Time Series Data in Python, Chris Holdgraf, /courses/machine-learning-for-time-series-data-in-python
Customer Analytics and A/B Testing in Python, Ryan Grossman, /courses/customer-analytics-and-ab-testing-in-python
Linear Classifiers in Python, Mike Gelbart, /courses/linear-classifiers-in-python
Human Resources Analytics: Predicting Employee Churn..., Hrant Davtyan, /courses/human-resources-analytics-predicting-employee-churn-in-python
Parallel Programming in R, Hana Sevcikova, /courses/parallel-programming-in-r
Feature Engineering with PySpark, John Hogue, /courses/feature-engineering-with-pyspark
Machine Learning with Tree-Based Models in Python, Elie Kawerk, /courses/machine-learning-with-tree-based-models-in-python
Introduction to Bioconductor in R, Paula Martinez, /courses/introduction-to-bioconductor-in-r
Human Resources Analytics: Predicting Employee Churn..., Anurag Gupta, /courses/human-resources-analytics-predicting-employee-churn-in-r
Marketing Analytics: Predicting Customer Churn in Py..., Mark Peterson, /courses/marketing-analytics-predicting-customer-churn-in-python
Data Privacy and Anonymization in R, Claire Bowen, /courses/data-privacy-and-anonymization-in-r
Nonlinear Modeling in R with GAMs, DataCamp Content Creator, /courses/nonlinear-modeling-in-r-with-gams
Bayesian Modeling with RJAGS, Alicia Johnson, /courses/bayesian-modeling-with-rjags
Structural Equation Modeling with lavaan in R, Erin Buchanan, /courses/structural-equation-modeling-with-lavaan-in-r
Differential Expression Analysis with limma in R, John Blischak, /courses/differential-expression-analysis-with-limma-in-r
Factor Analysis in R, Jennifer Brussow, /courses/factor-analysis-in-r
Introduction to Predictive Analytics in Python, Nele Verbiest, /courses/introduction-to-predictive-analytics-in-python
Choice Modeling for Marketing in R, Elea McDonnell Feit, /courses/choice-modeling-for-marketing-in-r
Categorical Data in the Tidyverse, Emily Robinson, /courses/categorical-data-in-the-tidyverse
Multivariate Probability Distributions in R, Surajit Ray, /courses/multivariate-probability-distributions-in-r
Advanced Deep Learning with Keras, Zachary Deane-Mayer, /courses/advanced-deep-learning-with-keras
Experimental Design in R, kaelen medeiros, /courses/experimental-design-in-r
Preprocessing for Machine Learning in Python, Sarah Guido, /courses/preprocessing-for-machine-learning-in-python
Machine Learning for Finance in Python, Nathan George, /courses/machine-learning-for-finance-in-python
Building Response Models in R, Kathrin Gruber, /courses/building-response-models-in-r
Bayesian Regression Modeling with rstanarm, Jake Thompson, /courses/bayesian-regression-modeling-with-rstanarm
Intermediate Functional Programming with purrr, Colin FAY, /courses/intermediate-functional-programming-with-purrr
Introduction to Python for Finance, Adina Howe, /courses/introduction-to-python-for-finance
Analyzing Survey Data in R, Kelly McConville, /courses/analyzing-survey-data-in-r
Mixture Models in R, Víctor Medina, /courses/mixture-models-in-r
Network Analysis in the Tidyverse, Massimo Franceschet, /courses/network-analysis-in-the-tidyverse
Hyperparameter Tuning in R, Shirin  Elsinghorst (formerly Glander), /courses/hyperparameter-tuning-in-r
Support Vector Machines in R, Kailash Awati, /courses/support-vector-machines-in-r
Interactive Maps with leaflet in R, Rich Majerus, /courses/interactive-maps-with-leaflet-in-r
Analyzing Election and Polling Data in R, G Elliott Morris, /courses/analyzing-election-and-polling-data-in-r
A/B Testing in R, Page Piccinini, /courses/ab-testing-in-r
RNA-Seq with Bioconductor in R, Mary Piper, /courses/rna-seq-with-bioconductor-in-r
Analyzing Police Activity with pandas, Kevin Markham, /courses/analyzing-police-activity-with-pandas
Analyzing US Census Data in R, Kyle Walker, /courses/analyzing-us-census-data-in-r
Building and Distributing Packages with Conda, Team Anaconda, /courses/building-and-distributing-packages-with-conda
Intermediate Data Visualization with Seaborn, Chris Moffitt, /courses/intermediate-data-visualization-with-seaborn
Anomaly Detection in R, Alastair Rushworth, /courses/anomaly-detection-in-r
Statistical Simulation in Python, Tushar Shanker, /courses/statistical-simulation-in-python
Financial Forecasting in Python, Victoria Clark, /courses/financial-forecasting-in-python
Dealing With Missing Data in R, Nicholas Tierney, /courses/dealing-with-missing-data-in-r
Python for MATLAB Users, Justin Kiggins, /courses/python-for-matlab-users
Visualizing Geospatial Data in Python, Mary van Valkenburg, /courses/visualizing-geospatial-data-in-python
Survival Analysis in R, Heidi Seibold, /courses/survival-analysis-in-r
Biomedical Image Analysis in Python, Stephen Bailey, /courses/biomedical-image-analysis-in-python
Building Recommendation Engines with PySpark, Jamen Long, /courses/recommendation-engines-in-pyspark
Financial Analytics in R, Emily Riederer, /courses/financial-analytics-in-r
Interactive Data Visualization with rbokeh, Omayma Said, /courses/interactive-data-visualization-with-rbokeh
Intermediate Interactive Data Visualization with plo..., Adam Loy, /courses/intermediate-interactive-data-visualization-with-plotly-in-r
Machine Learning in the Tidyverse, Dmitriy Gorenshteyn, /courses/machine-learning-in-the-tidyverse
Predictive Analytics using Networked Data in R, Bart Baesens, /courses/predictive-analytics-using-networked-data-in-r
Pivot Tables in Spreadsheets, Frank Sumanski, /courses/pivot-tables-in-spreadsheets
Intermediate SQL Server, Ginger Grant, /courses/intermediate-t-sql
Web Scraping in Python, Thomas Laetsch, /courses/web-scraping-with-python
Working with Geospatial Data in Python, Joris Van den Bossche, /courses/working-with-geospatial-data-in-python
Designing and Analyzing Clinical Trials in R, Tamuno Alfred, /courses/designing-and-analyzing-clinical-trials-in-r
